toxicity,severe_toxicity,obscene,threat,insult,identity_attack,text
0.13405653834342957,0.00039294559974223375,0.0017225868068635464,0.005458865314722061,0.0051109036430716515,0.0012259680079296231,"You're a real girl

You're a real girl

She said ""Come back, I just want to say I have a lot of things I'd like to say to you, but you can't keep coming back, so I can"
0.020726803690195084,0.00010231351188849658,0.0006440331926569343,0.00023861312365625054,0.0011446886928752065,0.00027788759325630963,"You're a real gamer and if I do something about it, I can do it.""

""You have your own game, but you're not even a gamer or an actual person.""

""If you were, that would be cool"
0.04177684709429741,0.00011367751721991226,0.0009982830379158258,0.00024393375497311354,0.0021038693375885487,0.00042843056144192815,"You're a real guy, but this isn't a woman's cup of tea. I'm talking about a guy with no problems getting his daughter to read. This is an awesome experience, and there's nothing wrong with it.


I'm"
0.0005662552430294454,0.000132144006784074,0.00017698663577903062,0.0001472526346333325,0.0001777434372343123,0.0001476090110372752,"You're a real artist too. If you'd like to have an open mind about all of this, then we're in for a great experience. If you're interested in any of the events of this day (Friday and Saturday only) you can"
0.9319597482681274,0.013202591799199581,0.6357706189155579,0.0009480949374847114,0.8402789235115051,0.007870813831686974,"You're a real jerk."" That could mean more than one person at a time.

3. You Are Still Not Afraid to Talk. You'll be talking to another person all the time. You won't know, and maybe you won"
0.10103987157344818,0.00014660214947070926,0.0008993975934572518,0.0005949356709606946,0.003818591358140111,0.0011490143369883299,"You're a realist. You take the law to the people. If they don't do it, you're going to have all the problems that you had with them. But I never thought there was a moral justification for doing it.

"
0.0022561722435057163,9.295604832004756e-05,0.00026425396208651364,0.00010876521264435723,0.0002457642403896898,0.00015807480667717755,"You're a real deal.""

""You see,"" I said. ""It'd be better if you asked the big guys.""

""What do you mean?"" one of the players asked me.

""Do you have any other"
0.0007419317262247205,0.00012144770153099671,0.0001733299868647009,0.00014678189472761005,0.00018346679280512035,0.00014965821173973382,"You're a real good student, you should be doing this every year,"" Kagan said. ""It should happen every year as well. What you learn in your class, that you take seriously, is valuable to you and for me as a student"
0.2263375222682953,0.00023168577172327787,0.002039405284449458,0.0013719857670366764,0.01564253307878971,0.0013132640160620213,"You're a real one. No one can do it. You can't do what you want and I want to see if I can do it for you.""

That same day, she added, ""when you want to leave a place and"
0.0017044838750734925,0.00010595557250780985,0.0001884404628071934,0.0001633361680433154,0.00019900829647667706,0.00018192686547990888,"You're a real-life hero when I say that this will be the last time we have to fight for the future.

""And in that way, the idea of a global government working for human rights is important. What we don't"
0.02615123987197876,0.0003258260549046099,0.004896475933492184,0.0007734803366474807,0.001621720497496426,0.0007530542789027095,"You're a real nice guy to be, what are you trying to tell her?""

""Oh, I'm sorry. We just needed to make sure she's not getting raped. I'll let her know.""

The woman asked when"
0.9974597096443176,0.3052211403846741,0.9704076051712036,0.010124842636287212,0.9727447032928467,0.5537431836128235,"You're a real bitch, man.

I'm talking about your pants. They're black. They're on top of each other.

You're really nice. You're a little slutty.

You're a little pussy"
0.0011628451757133007,9.800207044463605e-05,0.00018409518816042691,0.00011624389298958704,0.00020185635366942734,0.00014141754945740104,"You're a real life example.""


Perez said he had no doubt in his mind that the allegations would turn the court into an investigation, but he also stressed that the court ""was very clear about where it was, what I saw"
0.00760197639465332,9.154732106253505e-05,0.0004492692241910845,0.00012809073086827993,0.0005935833905823529,0.00020001632219646126,"You're a real star."" A bit of an underbelly to think about when someone named ""Changyun"" became one, though, and how that might change the way we see him at the game, and his work ethic and his"
0.0024029903579503298,9.907504136208445e-05,0.00023347554088104516,0.00013950950233265758,0.00023897923529148102,0.00017565913731232285,"You're a real, human person."" She smiles. ""And I understand.""

He does have a funny sense of humor. ""When you talk about me being a doctor,"" she says, ""you just talk about me as a human being"
0.5654893517494202,0.0007016068557277322,0.012368525378406048,0.004103675018996,0.03270579129457474,0.0021200417540967464,"You're a real woman. You've got your legs up and your arms up. And you have your arms out. And you have your head up and you're breathing in it, like you want to, like you really want this to be over"
0.9966487288475037,0.29318973422050476,0.9732925295829773,0.1978926807641983,0.9005388617515564,0.02695198729634285,"You're a real bitch when we take down your ass!""

Diane nodded and turned her head to stare at the two of them. ""Yeah, I'm fine. I just want to watch you take care of the rest. I'm"
0.03586788848042488,0.00012599321780726314,0.0011150477221235633,0.0003566910163499415,0.001604985329322517,0.00042024298454634845,"You're a real guy! Let's take that, go ahead!"" He says. ""We're going to do that."" ""Let's do that?!"" my mother's response. ""Yes!"" she says. And there we go.

One"
